benchmark	baseline_median_ms	current_median_ms	speedup	current_over_baseline	gate_kind	gate_threshold	wins	trials	gate_ok	wins_gate_ok
benchmark/calc_mem/calc_mem n_cards=1000, n_reviews=10	125.66467675	0.566216953801945	221.93732615423556	0.00450577655110186	no_regression	1.05	3	3	True	True
benchmark/calc_mem_batch/calc_mem_batch n_cards=1000, n_reviews=10	1.0100699366096866	0.026373748567538127	38.29830765327464	0.02611081432248342	no_regression	1.05	3	3	True	True
benchmark/calc_mem_batch/calc_mem_batch n_cards=1000, n_reviews=100	5.993426363075197	0.12258120503597121	48.8935180667904	0.020452608843445505	no_regression	1.05	3	3	True	True
benchmark/calc_mem_batch/calc_mem_batch n_cards=1000, n_reviews=200	11.734273179945056	0.1993911294665843	58.85052766056771	0.01699220108556548	no_regression	1.05	3	3	True	True
benchmark/calc_mem_batch/calc_mem_batch n_cards=10000, n_reviews=10	9.573108774305556	0.27286316462053567	35.08391756585632	0.028503088291747677	no_regression	1.05	3	3	True	True
benchmark/calc_mem_batch/calc_mem_batch n_cards=10000, n_reviews=100	48.790434	1.3120723219373223	37.18578098496823	0.026891999401713097	no_regression	1.05	3	3	True	True
benchmark/calc_mem_batch/calc_mem_batch n_cards=10000, n_reviews=200	93.4779655	2.2376613101623795	41.774849962980596	0.02393784779325754	no_regression	1.05	3	3	True	True
benchmark/current_retrievability	1.3277684847631121e-05	1.2783186781104675e-05	1.0386834734557258	0.9627572071335411	no_regression	1.05	3	3	True	True
benchmark/next_states	0.05372596428571428	0.00019124652115265784	280.92518474011274	0.003559666609902249	no_regression	1.05	3	3	True	True
parameters/compute_parameters	26.985725672619044	27.032651427083337	0.998264108328742	1.001738910231045	no_regression	1.05	3	3	True	True
parameters/evaluate	31.560436805555558	5.460087921626984	5.780206703365915	0.1730041936766176	speedup	1.2	3	3	True	True
parameters/evaluate_with_time_series_splits	224.49470384821427	69.56918782916667	3.226927190805806	0.3098923343697404	speedup	1.05	3	3	True	True
